IDN_Comune,Anno,n_Incidenti,n_Feriti,n_Morti
1001,2001,5,10,0
1001,2002,5,10,0
1001,2003,4,7,0
1001,2004,9,13,0
1001,2005,2,2,0
1001,2006,1,1,0
1001,2007,8,12,0
1001,2008,5,10,0
1001,2009,4,7,0
1001,2010,7,14,0
1001,2011,4,6,0
1001,2012,3,8,0
1001,2013,4,5,0
1001,2014,6,11,0
1001,2015,5,9,0
1001,2016,5,8,0
1001,2017,0,0,0
1001,2018,1,1,0
1001,2019,3,5,0
1001,2020,4,4,0
1001,2021,2,2,0
1001,2022,3,5,0
1001,2023,3,6,1
1001,2024,2,5,0
1002,2001,25,48,0
1002,2002,23,47,0
1002,2003,10,16,0
1002,2004,21,34,1
1002,2005,19,33,1
1002,2006,12,19,0
1002,2007,11,15,0
1002,2008,13,17,1
1002,2009,8,8,0
1002,2010,10,13,1
1002,2011,8,10,1
1002,2012,11,18,0
1002,2013,10,11,1
1002,2014,8,19,1
1002,2015,11,18,0
1002,2016,7,13,0
1002,2017,10,16,0
1002,2018,9,13,0
1002,2019,6,12,0
1002,2020,8,14,0
1002,2021,6,9,0
1002,2022,4,5,0
1002,2023,7,10,1
1002,2024,5,9,0
1003,2001,0,0,0
1003,2002,0,0,0
1003,2003,0,0,0
1003,2004,0,0,0
1003,2005,0,0,0
1003,2006,0,0,0
1003,2007,0,0,0
1003,2008,0,0,0
1003,2009,1,4,0
1003,2010,0,0,0
1003,2011,0,0,0
1003,2012,0,0,0
1003,2013,0,0,0
1003,2014,1,1,0
1003,2015,0,0,0
1003,2016,1,1,0
1003,2017,0,0,0
1003,2018,1,1,0
1003,2019,0,0,0
1003,2020,0,0,0
1003,2021,0,0,0
1003,2022,0,0,0
1003,2023,1,1,0
1003,2024,1,2,0
1004,2001,5,6,1
1004,2002,8,10,1
1004,2003,8,8,1
1004,2004,6,7,1
1004,2005,4,8,1
1004,2006,4,9,1
1004,2007,9,10,2
1004,2008,2,2,0
1004,2009,5,12,0
1004,2010,6,9,0
1004,2011,3,4,0
1004,2012,2,7,0
1004,2013,1,1,0
1004,2014,5,11,0
1004,2015,5,9,0
1004,2016,2,4,0
1004,2017,8,16,0
1004,2018,6,7,1
1004,2019,3,3,1
1004,2020,3,3,0
1004,2021,2,2,0
1004,2022,4,4,0
1004,2023,2,4,0
1004,2024,4,9,0
1005,2001,3,3,4
1005,2002,1,1,0
1005,2003,1,1,0
1005,2004,2,2,1
1005,2005,0,0,0
1005,2006,1,1,0
1005,2007,2,6,0
1005,2008,0,0,0
1005,2009,1,2,0
1005,2010,3,3,0
1005,2011,1,1,0
1005,2012,0,0,0
1005,2013,1,3,0
1005,2014,2,2,0
1005,2015,1,3,0
1005,2016,0,0,0
1005,2017,2,6,0
1005,2018,0,0,0
1006,2001,7,11,0
1006,2002,5,6,0
1006,2003,6,11,2
1006,2004,1,1,0
1006,2005,8,11,0
1006,2006,7,9,0
1006,2007,12,19,0
1006,2008,1,2,0
1006,2009,5,7,0
1006,2010,5,5,0
1006,2011,5,10,0
1006,2012,6,7,0
1006,2013,9,11,0
1006,2014,5,7,0
1006,2015,5,5,0
1006,2016,5,7,0
1006,2017,3,4,0
1006,2018,7,11,0
1006,2019,4,7,0
1006,2020,6,8,0
1006,2021,3,4,0
1006,2022,8,8,1
1006,2023,2,4,0
1006,2024,2,2,0
1007,2001,0,0,0
1007,2002,0,0,0
1007,2003,0,0,0
1007,2004,1,1,0
1007,2005,0,0,0
1007,2006,1,1,0
1007,2007,0,0,0
1007,2008,0,0,0
1007,2009,0,0,0
1007,2010,2,7,0
1007,2011,0,0,0
1007,2012,0,0,0
1007,2013,0,0,0
1007,2014,0,0,0
1007,2015,0,0,0
1007,2016,1,5,0
1007,2017,0,0,0
1007,2018,0,0,0
1007,2019,0,0,0
1007,2020,1,1,0
1007,2021,0,0,0
1007,2022,0,0,0
1007,2023,1,2,0
1008,2001,45,58,3
1008,2002,43,66,0
1008,2003,39,51,0
1008,2004,41,57,2
1008,2005,48,69,2
1008,2006,39,57,0
1008,2007,50,79,0
1008,2008,29,48,1
1008,2009,28,39,0
1008,2010,19,29,0
1008,2011,28,36,0
1008,2012,35,49,0
1008,2013,34,41,2
1008,2014,39,56,0
1008,2015,37,52,0
1008,2016,23,34,0
1008,2017,32,42,0
