IDN_Comune,IDA_Comune,Comune,ID_Ripartizione_Geografica,ID_Regione,ID_Provincia/Uts,Sigla_Auto,Superficie_Kmq,Pop_Residente,IS_Capoluogo_Provincia/Uts,IS_Capoluogo_Regione,Anno_Rif_SITUAS
1001,1001,Agliè,1,1,201,TO,13.1463,2585,0,0,2024
1002,1002,Airasca,1,1,201,TO,15.7393,3695,0,0,2024
1003,1003,Ala di Stura,1,1,201,TO,46.3316,463,0,0,2024
1004,1004,Albiano d'Ivrea,1,1,201,TO,11.7397,1624,0,0,2024
1006,1006,Almese,1,1,201,TO,17.8741,6297,0,0,2024
1007,1007,Alpette,1,1,201,TO,5.6311,248,0,0,2024
1008,1008,Alpignano,1,1,201,TO,11.9193,16494,0,0,2024
1009,1009,Andezeno,1,1,201,TO,7.4859,1995,0,0,2024
1010,1010,Andrate,1,1,201,TO,9.309,466,0,0,2024
1011,1011,Angrogna,1,1,201,TO,38.8781,804,0,0,2024
1012,1012,Arignano,1,1,201,TO,8.1666,1068,0,0,2024
1013,1013,Avigliana,1,1,201,TO,23.2173,12139,0,0,2024
1014,1014,Azeglio,1,1,201,TO,9.9528,1242,0,0,2024
1015,1015,Bairo,1,1,201,TO,7.0859,787,0,0,2024
1016,1016,Balangero,1,1,201,TO,13.0065,3049,0,0,2024
1017,1017,Baldissero Canavese,1,1,201,TO,4.5064,482,0,0,2024
1018,1018,Baldissero Torinese,1,1,201,TO,15.4046,3734,0,0,2024
1019,1019,Balme,1,1,201,TO,62.7105,99,0,0,2024
1020,1020,Banchette,1,1,201,TO,2.0289,3112,0,0,2024
1021,1021,Barbania,1,1,201,TO,12.8027,1552,0,0,2024
1022,1022,Bardonecchia,1,1,201,TO,132.203,2871,0,0,2024
1023,1023,Barone Canavese,1,1,201,TO,3.9864,531,0,0,2024
1024,1024,Beinasco,1,1,201,TO,6.7366,17351,0,0,2024
1025,1025,Bibiana,1,1,201,TO,18.5987,3364,0,0,2024
1026,1026,Bobbio Pellice,1,1,201,TO,94.082,523,0,0,2024
1027,1027,Bollengo,1,1,201,TO,14.2237,2115,0,0,2024
